dataset,ce,act,pe,seed,encoding_kwargs_json,lr,batch_size,num_epochs,mlp_num_layers,mlp_layer_width,sine_w0,gaussian_a,ffn_scale,mapping_input,omega,sh_lmax,reconstruction_psnr,reconstruction_psnr_polar,reconstruction_psnr_equatorial,reconstruction_psnr_r,reconstruction_psnr_g,reconstruction_psnr_b,held_out_psnr,held_out_psnr_polar,held_out_psnr_equatorial,held_out_psnr_r,held_out_psnr_g,held_out_psnr_b,status,parameter_count,wall_clock_seconds,peak_gpu_mem_mb,epochs_run,timestamp_start,timestamp_end,log_dir,mitigation_note
hdri_sky,angular,scaled-sine,None,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,49.04468536376953,49.227291107177734,48.32277297973633,47.92093276977539,49.51927947998047,49.96947479248047,39.35450744628906,37.83126449584961,39.6702880859375,37.8333625793457,39.282691955566406,41.842529296875,completed,264727,1072.304,243.31,500,2026-06-28T10:45:33,2026-06-28T11:03:25,logs/grid\scaled_sine__none_angular__hdri_sky__seed42\scaled-sine\version_0,
hdri_urban,angular,scaled-sine,None,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,36.746124267578125,40.544586181640625,33.97203826904297,36.40142822265625,37.23408126831055,36.64452362060547,24.944232940673828,35.596126556396484,20.589590072631836,25.304241180419922,25.556427001953125,24.112682342529297,completed,264727,1113.975,243.31,500,2026-06-28T11:03:38,2026-06-28T11:22:12,logs/grid\scaled_sine__none_angular__hdri_urban__seed42\scaled-sine\version_0,
etopo1,cartesian,scaled-sine,None,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,39.40612030029297,41.50417709350586,39.5384521484375,nan,nan,nan,30.34201431274414,32.82687759399414,28.72158432006836,nan,nan,nan,completed,264469,1150.064,243.30,500,2026-06-28T11:22:25,2026-06-28T11:41:35,logs/grid\scaled_sine__none_cartesian__etopo1__seed42\scaled-sine\version_0,
era5,cartesian,scaled-sine,None,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,38.48360824584961,39.564353942871094,38.85984802246094,nan,nan,nan,38.192970275878906,38.640052795410156,38.80883026123047,nan,nan,nan,completed,264469,344.122,243.30,140,2026-06-28T11:41:48,2026-06-28T11:47:32,logs/grid\scaled_sine__none_cartesian__era5__seed42\scaled-sine\version_0,
cmb,cartesian,scaled-sine,None,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,44.73867416381836,47.33049011230469,44.08349609375,nan,nan,nan,34.91734313964844,33.69203186035156,35.22610092163086,nan,nan,nan,completed,264469,1144.082,243.30,500,2026-06-28T11:47:46,2026-06-28T12:06:50,logs/grid\scaled_sine__none_cartesian__cmb__seed42\scaled-sine\version_0,
hdri_sky,cartesian,scaled-sine,None,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,30.294696807861328,29.660400390625,30.117033004760742,28.886920928955078,30.323341369628906,32.344825744628906,30.257061004638672,29.57874298095703,30.086883544921875,28.854045867919922,30.28081512451172,32.30443572998047,completed,264983,326.864,243.37,140,2026-06-28T12:07:05,2026-06-28T12:12:31,logs/grid\scaled_sine__none_cartesian__hdri_sky__seed42\scaled-sine\version_0,
hdri_urban,cartesian,scaled-sine,None,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,35.77682876586914,40.68927764892578,32.72241973876953,35.46376037597656,36.2893180847168,35.620887756347656,25.212326049804688,38.17414093017578,20.777923583984375,25.54141616821289,25.78609275817871,24.432350158691406,completed,264983,1074.340,243.37,500,2026-06-28T12:12:44,2026-06-28T12:30:38,logs/grid\scaled_sine__none_cartesian__hdri_urban__seed42\scaled-sine\version_0,
etopo1,cartesian,scaled-sine,RFF,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,33.86845016479492,36.339630126953125,32.811309814453125,nan,nan,nan,29.315793991088867,32.540367126464844,27.597000122070312,nan,nan,nan,completed,280085,391.081,246.48,180,2026-06-28T12:30:51,2026-06-28T12:37:22,logs/grid\scaled_sine__rff__etopo1__seed42\scaled-sine\version_0,
era5,cartesian,scaled-sine,RFF,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,24.616565704345703,25.908803939819336,25.05706024169922,nan,nan,nan,23.457796096801758,24.31154441833496,23.94843101501465,nan,nan,nan,completed,280085,284.809,246.48,120,2026-06-28T12:37:34,2026-06-28T12:42:19,logs/grid\scaled_sine__rff__era5__seed42\scaled-sine\version_0,
cmb,cartesian,scaled-sine,RFF,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,30.94470977783203,32.96718978881836,29.930557250976562,nan,nan,nan,28.916303634643555,29.96517562866211,28.167709350585938,nan,nan,nan,completed,280085,320.066,246.48,140,2026-06-28T12:42:32,2026-06-28T12:47:52,logs/grid\scaled_sine__rff__cmb__seed42\scaled-sine\version_0,
