cell,dataset,lmax,recon_o,recon_p,recon_e,held_o,held_p,held_e,recon_R,recon_G,recon_B,held_R,held_G,held_B,epochs,secs,params
ssine+fkan,etopo1,,40.26,41.74,40.89,30.40,33.53,28.61,,,,,,,500,1092,313K
ssine+fkan,hdri_sky,,31.62,32.02,31.02,31.56,31.87,30.98,30.23,31.80,33.41,30.17,31.73,33.35,160,361,313K
ssine+fkan,hdri_urban,,36.15,40.49,33.56,25.13,37.62,20.72,35.74,36.67,36.09,25.48,25.71,24.32,500,1086,313K
ssine+rff,cmb,,30.94,32.97,29.93,28.92,29.97,28.17,,,,,,,140,320,280K
ssine+rff,era5,,24.62,25.91,25.06,23.46,24.31,23.95,,,,,,,120,285,280K
ssine+rff,etopo1,,33.87,36.34,32.81,29.32,32.54,27.60,,,,,,,180,391,280K
ssine+rff,hdri_sky,,20.06,23.01,18.51,19.82,22.67,18.29,19.86,21.19,19.34,19.62,20.89,19.12,120,270,280K
ssine+rff,hdri_urban,,31.83,36.05,29.42,23.13,30.07,19.36,31.73,32.94,31.03,23.16,23.88,22.47,500,1107,280K
ssine+sh,cmb,32,38.06,39.10,37.74,32.62,31.68,32.90,,,,,,,180,534,542K
ssine+sh,cmb,16,49.20,50.16,49.82,35.32,35.36,34.75,,,,,,,500,1170,337K
ssine+sh,era5,32,40.46,41.28,41.21,40.09,40.61,40.87,,,,,,,160,472,542K
ssine+sh,era5,13,37.45,37.99,38.01,37.38,37.85,37.95,,,,,,,140,326,313K
ssine+sh,etopo1,32,54.48,50.78,63.05,29.83,32.72,28.19,,,,,,,500,1426,542K
ssine+sh,etopo1,16,43.55,43.67,45.51,30.20,33.43,28.43,,,,,,,500,1126,337K
ssine+sh,hdri_sky,32,31.81,31.19,31.50,31.63,30.86,31.39,30.61,31.95,33.25,30.44,31.76,33.08,140,424,542K
ssine+sh,hdri_sky,31,32.27,32.12,31.80,32.10,31.77,31.71,31.01,32.40,33.87,30.83,32.22,33.73,140,406,526K
ssine+sh,hdri_urban,32,22.44,31.99,18.24,22.18,31.83,17.99,22.59,22.90,21.88,22.34,22.64,21.61,120,366,542K
ssine+sh,hdri_urban,16,21.81,30.13,17.77,21.66,30.12,17.62,21.86,22.25,21.37,21.70,22.08,21.22,140,343,338K
